Id,Player Image,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Team Logo
106,https://scores.iplt20.com/ipl/playerimages/Suyash%20S%20Prabhudessai.png?v=1,Suyash S Prabhudessai,RCB,24,1,1,0,24,24,18,133.33,0,0,3,0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1
107,https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png?v=1,Jaydev Unadkat,SRH,24,11,5,2,8,8,26,92.3,0,0,2,1,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
108,https://scores.iplt20.com/ipl/playerimages/Tanush%20Kotian.png?v=1,Tanush Kotian,RR,24,1,1,0,24,24,31,77.41,0,0,3,0,https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1
109,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png?v=1,Bhuvneshwar Kumar,SRH,23,16,5,2,13,7.67,29,79.31,0,0,3,0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
110,https://scores.iplt20.com/ipl/playerimages/Yudhvir%20Singh.png?v=1,Yudhvir Singh,LSG,21,2,2,0,14,10.5,14,150,0,0,1,2,https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1
111,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png?v=1,Rahul Chahar,PBKS,21,9,2,1,16,21,15,140,0,0,3,1,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1
112,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png?v=1,Shardul Thakur,CSK,21,9,3,2,17,21,17,123.52,0,0,2,1,https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1
113,https://scores.iplt20.com/ipl/playerimages/Ashton%20Turner.png?v=1,Ashton Turner,LSG,21,2,2,0,16,10.5,18,116.66,0,0,0,2,https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1
114,https://scores.iplt20.com/ipl/playerimages/Kagiso%20Rabada.png?v=1,Kagiso Rabada,PBKS,20,11,3,2,11,20,14,142.85,0,0,0,2,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1
115,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,Gulbadin Naib,DC,19,2,1,0,19,19,15,126.66,0,0,1,1,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
116,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png?v=1,Marco Jansen,SRH,18,3,2,1,17,18,13,138.46,0,0,1,1,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
117,https://scores.iplt20.com/ipl/playerimages/Saurav%20Chauhan.png?v=1,Saurav Chauhan,RCB,18,3,3,0,9,6,15,120,0,0,1,1,https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1
118,https://scores.iplt20.com/ipl/playerimages/Sumit%20Kumar.png?v=1,Sumit Kumar,DC,18,4,3,1,9,9,24,75,0,0,2,1,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
119,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png?v=1,Piyush Chawla,MI,15,11,6,2,10,3.75,15,100,0,0,1,1,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
120,https://scores.iplt20.com/ipl/playerimages/Sanvir%20Singh.png?v=1,Sanvir Singh,SRH,14,4,3,2,8,14,12,116.66,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
121,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png?v=1,Trent Boult,RR,14,16,5,3,12,7,16,87.5,0,0,2,0,https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1
122,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png?v=1,Mitchell Santner,CSK,14,3,3,0,11,4.67,17,82.35,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1
123,https://scores.iplt20.com/ipl/playerimages/Gerald%20Coetzee.png?v=1,Gerald Coetzee,MI,14,10,5,1,8,3.5,22,63.63,0,0,0,1,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
124,https://scores.iplt20.com/ipl/playerimages/Sai%20Kishore.png?v=1,Sai Kishore,GT,13,5,2,1,13,13,6,216.66,0,0,0,2,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
125,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png?v=1,Harshal Patel,PBKS,13,14,4,1,12,4.33,19,68.42,0,0,1,1,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1
126,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png?v=1,Mohammed Siraj,RCB,12,14,3,1,12,6,8,150,0,0,0,2,https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1
127,https://scores.iplt20.com/ipl/playerimages/Darshan%20Nalkande.png?v=1,Darshan Nalkande,GT,12,3,1,0,12,12,11,109.09,0,0,0,1,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
128,https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png?v=1,Jasprit Bumrah,MI,12,13,4,4,8,-,12,100,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
129,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png?v=1,Umesh Yadav,GT,12,7,2,1,10,12,15,80,0,0,0,1,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
130,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png?v=1,Avesh Khan,RR,10,16,3,3,7,-,5,200,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1
131,https://scores.iplt20.com/ipl/playerimages/Lalit%20Yadav.png?v=1,Lalit Yadav,DC,10,2,2,0,7,5,12,83.33,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
132,https://scores.iplt20.com/ipl/playerimages/Luke%20Wood.png?v=1,Luke Wood,MI,9,2,1,1,9,-,3,300,0,0,0,1,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
133,https://scores.iplt20.com/ipl/playerimages/Arshin%20Atul%20Kulkarni.png?v=1,Arshin Atul Kulkarni,LSG,9,2,2,0,9,4.5,8,112.5,0,0,2,0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1
134,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Starc.png?v=1,Mitchell Starc,KKR,9,14,5,3,6,4.5,11,81.81,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1
135,https://scores.iplt20.com/ipl/playerimages/Abhinav%20Manohar.png?v=1,Abhinav Manohar,GT,9,2,2,0,8,4.5,16,56.25,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
136,https://scores.iplt20.com/ipl/playerimages/Donovan%20Ferreira.png?v=1,Donovan Ferreira,RR,8,2,2,0,7,4,11,72.72,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1
137,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,Vijayakanth Viyaskanth,SRH,7,3,1,1,7,-,5,140,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
138,https://scores.iplt20.com/ipl/playerimages/Spencer%20Johnson.png?v=1,Spencer Johnson,GT,6,5,3,3,5,-,7,85.71,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
