Player,Opponent Team,Venue,Match ID,Avg Run,Strike Rate,Economy,Bowling Avg,Wickets per Match
V Kohli,Chennai Super Kings,Sharjah Cricket Stadium,1254113,53.0,126,16,65,0
RA Jadeja,Royal Challengers Bangalore,Sharjah Cricket Stadium,1254113,10,70,7.75,65,0.0
D Padikkal,Chennai Super Kings,Sharjah Cricket Stadium,1254113,70.0,137,16,65,0
PWH de Silva,Chennai Super Kings,Sharjah Cricket Stadium,1254113,1.0,100,10.0,65,0.0
GJ Maxwell,Chennai Super Kings,Sharjah Cricket Stadium,1254113,11.0,122,8.5,17.0,1.0
F du Plessis,Royal Challengers Bangalore,Sharjah Cricket Stadium,1254113,31.0,119,16,65,0
MM Ali,Royal Challengers Bangalore,Sharjah Cricket Stadium,1254113,23.0,121,16,65,0
JR Hazlewood,Royal Challengers Bangalore,Sharjah Cricket Stadium,1254113,10,70,8.75,65,0.0
YS Chahal,Chennai Super Kings,Sharjah Cricket Stadium,1254113,10,70,6.5,26.0,1.0
AT Rayudu,Royal Challengers Bangalore,Sharjah Cricket Stadium,1254113,32.0,145,16,65,0
